route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Q48,CS_B5-Weekday,CS_B5-Weekday-027000_Q48_801,LAGUARDIA AIRPORT,1,37182012,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-140000_Q48_807,LAGUARDIA AIRPORT,1,37182019,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-030000_Q48_802,LAGUARDIA AIRPORT,1,37182013,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-030500_Q48_801,FLUSHING MAIN ST STATION,0,37182012,Q480112
Q48,CS_B5-Weekday,CS_B5-Weekday-033500_Q48_802,FLUSHING MAIN ST STATION,0,37182013,Q480112
Q48,CS_B5-Weekday,CS_B5-Weekday-143000_MISC_517,LAGUARDIA AIRPORT,1,37182020,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-033700_Q48_801,LAGUARDIA AIRPORT,1,37182012,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-036700_Q48_802,LAGUARDIA AIRPORT,1,37182013,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-037200_Q48_801,FLUSHING MAIN ST STATION,0,37182012,Q480112
Q48,CS_B5-Weekday,CS_B5-Weekday-032000_Q48_803,LAGUARDIA AIRPORT,1,37182014,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-038200_Q48_805,LAGUARDIA AIRPORT,1,37182016,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-039700_Q48_803,LAGUARDIA AIRPORT,1,37182014,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-035500_Q48_803,FLUSHING MAIN ST STATION,0,37182014,Q480112
Q48,CS_B5-Weekday,CS_B5-Weekday-040200_Q48_802,FLUSHING MAIN ST STATION,0,37182013,Q480112
Q48,CS_B5-Weekday,CS_B5-Weekday-041700_Q48_805,FLUSHING MAIN ST STATION,0,37182016,Q480112
Q48,CS_B5-Weekday,CS_B5-Weekday-043200_Q48_803,FLUSHING MAIN ST STATION,0,37182014,Q480112
Q48,CS_B5-Weekday,CS_B5-Weekday-155500_MISC_515,FLUSHING MAIN ST STATION,0,37182022,Q480040
Q48,CS_B5-Weekday,CS_B5-Weekday-035200_Q48_804,LAGUARDIA AIRPORT,1,37182015,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-042400_Q48_804,LAGUARDIA AIRPORT,1,37182015,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-046900_Q48_803,LAGUARDIA AIRPORT,1,37182014,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-045900_Q48_804,FLUSHING MAIN ST STATION,0,37182015,Q480040
Q48,CS_B5-Weekday,CS_B5-Weekday-047500_Q48_802,FLUSHING MAIN ST STATION,0,37182013,Q480112
Q48,CS_B5-Weekday,CS_B5-Weekday-038700_Q48_804,FLUSHING MAIN ST STATION,0,37182015,Q480112
Q48,CS_B5-Weekday,CS_B5-Weekday-049200_Q48_805,FLUSHING MAIN ST STATION,0,37182016,Q480112
Q48,CS_B5-Weekday,CS_B5-Weekday-050700_Q48_803,FLUSHING MAIN ST STATION,0,37182014,Q480112
Q48,CS_B5-Weekday,CS_B5-Weekday-043900_Q48_802,LAGUARDIA AIRPORT,1,37182013,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-045400_Q48_805,LAGUARDIA AIRPORT,1,37182016,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-152400_Q48_807,FLUSHING MAIN ST STATION,0,37182019,Q480040
Q48,CS_B5-Weekday,CS_B5-Weekday-149500_MISC_515,FLUSHING MAIN ST STATION,0,37182022,Q480112
Q48,CS_B5-Weekday,CS_B5-Weekday-041100_Q48_801,LAGUARDIA AIRPORT,1,37182012,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-048700_Q48_801,LAGUARDIA AIRPORT,1,37182012,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-050700_Q48_802,LAGUARDIA AIRPORT,1,37182013,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-052700_Q48_805,LAGUARDIA AIRPORT,1,37182016,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-054700_Q48_803,LAGUARDIA AIRPORT,1,37182014,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-056700_Q48_806,LAGUARDIA AIRPORT,1,37182012,Q480111
Q48,CS_B5-Weekday,CS_B5-Weekday-044600_Q48_801,FLUSHING MAIN ST STATION,0,37182012,Q480112
Q48,CS_B5-Weekday,CS_B5-Weekday-052500_Q48_801,FLUSHING MAIN ST STATION,0,37182012,Q480112
Q48,CS_B5-Weekday,CS_B5-Weekday-054500_Q48_802,FLUSHING MAIN ST STATION,0,37182013,Q480112
Q48,CS_B5-Weekday,CS_B5-Weekday-056500_Q48_805,FLUSHING MAIN ST STATION,0,37182016,Q480112
